"Source:","/Users/zhonx/Documents/Projets_PRE/CISYNTH/CIS/Electronique/sss-cis_electronics/CIS.kicad_sch"
"Date:","2024 February 27, Tuesday 16:11:47"
"Tool:","Eeschema 7.0.2-0"
"Generator:","/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value.py"
"Component Count:","176"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Field1","Field1_1","Field2","Field3","Field4","Field5","Field6","Field7","Field8","Field9"
"48","1","U1","U_0076","DVB_U:U_0076","DVB_SOT:SOT_23-5","http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftps61041","","","","","","TPS61040DBVR","REGULATOR","DC/DC BOOST/EN","1.8V to 6Vcc","ADJ 1.8V to 1Vout","400mA"
"49","1","U2","U_0131","DVB_U:U_0131","DVB_BGA:UFBGA_176","https://www.st.com/resource/en/datasheet/stm32h745zg.pdf","","","","","","STM32H745IIKx","MCU","CORTEX M7 32-BIT","1.6V to 3.6Vcc","",""
"50","2","U3, U9","U_0144","DVB_U:U_0144","DVB_SOT:SOT_23-5","http://www.ti.com/lit/ds/symlink/lp2985.pdf","","","","","","LP2985A-50","REGULATOR","LDO / EN","4V to 16Vcc","2.8Vout","150mA"
"51","1","U4","U_0134","DVB_U:U_0134","DVB_SSOP:MSOP_16-1EP_3x4_P0.5","http://cds.linear.com/docs/en/datasheet/8610abfa.pdf","","","","","","LT8610ABIMSE-3.3","REGULATOR","DC/DC BUCK","3.4V to 42Vcc","3.3Vout","3.5A"
"52","1","U5","U_0081","DVB_U:U_0081","DVB_DFN:DFN-8-1EP_2x2_P0.5","http://www.farnell.com/datasheets/1899965.pdf?_ga=2.34388068.415540020.1500900976-695518372.1495123464","","","","","","ADP125ACPZ-R7","REGULATOR","LDO","2.3V to 5.5Vcc","ADJ 800mV to 5Vout","500mA"
"53","1","U6","U_0097","DVB_U:U_0097","DVB_SSOP:TSSOP_14_4.4x5_P0.65","http://www.ti.com/lit/ds/symlink/txs0104e.pdf","","","","","","TXS0104EPWR","INTERFACE","LEVEL SHIFTER / 4-BIT","TTL","",""
"54","1","U7","U_0138","DVB_U:U_0138","DVB_SO:SOP-8_5.28x5.23mm_P1.27mm","https://www.macronix.com/Lists/Datasheet/Attachments/7447/MX25L12833F,%203V,%20128Mb,%20v1.0.pdf","","","","","","MX25L12833F","FLASH MEMORY","128M-BIT","2.7 to 3.6V","",""
"55","1","U8","U_0133","DVB_U:U_0133","DVB_LGA:LGA-16_3x3mm_P0.5mm_LayoutBorder3x5y","http://www.invensense.com/wp-content/uploads/2016/10/DS-000176-ICM-20602-v1.0.pdf","","","","","","ICM-20602","MEMS","6-AXIS ","1.71-3.45Vcc","",""
"56","1","U10","U_0139","DVB_U:U_0139","DVB_LGA:LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y","https://invensense.tdk.com/wp-content/uploads/2022/12/DS-000347-ICM-42688-P-v1.7.pdf","","","","","","ICM-42688","MEMS","6-AXIS ","1.71-3.45Vcc","",""
"57","1","U14","U_0101","DVB_U:U_0101","DVB_QFN:QFN-24-1EP_4x4mm_Pitch0.5mm","http://ww1.microchip.com/downloads/en/DeviceDoc/8742a.pdf","","","","","","LAN8742A-CZ-TR","INTERFACE","TRANCEIVER","ETHERNET","",""
"58","2","U16, U17","U_0049","DVB_U:U_0049","DVB_SOT:SOT_143","http://www.farnell.com/datasheets/2004209.pdf?_ga=2.8833781.1188598177.1499070962-421346633.1483631847","","","","","","CD143A-SR3.3","PROTECTION","ESD / D-ARRAY ","2-Chan","",""
"59","2","XO1, XO2","XO_0004","DVB_XO:XO_0004","DVB_Clock:7M","http://www.farnell.com/datasheets/1794111.pdf?_ga=2.11692657.498774000.1532426249-676124820.1530775119&_gac=1.208937254.1532426249.EAIaIQobChMIxe79z7y33AIVhLHtCh2hGg5WEAAYAiAAEgLqofD_BwE","","","","","","7M-25.000MEEQ-T","25Mhz","","","",""
